t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2278,4.99,1190.37,311.769,1.22017,679.266,679.15,-12.5501,312.224,0.112696,59.4131,59.3826,-1.90466,738.674,738.533,-14.4548,
0.246,12.5,0,2279,4.98,1188.51,311.479,1.2277,687.3,687.168,-13.47,311.925,0.11316,59.3675,59.3404,-1.79113,746.664,746.508,-15.2611,
0.496,12.5,0,2279,5.0,1193.28,311.293,1.22039,680.22,680.078,-13.8574,311.77,0.11354,60.1379,60.1,-2.13388,740.351,740.179,-15.9912,
0.746,12.5,0,2280,4.99,1191.42,311.665,1.22691,685.817,685.697,-12.818,312.075,0.112304,59.1535,59.1214,-1.94816,744.965,744.819,-14.7662,
0.996,12.5,0,2278,5.01,1195.14,310.692,1.21631,677.735,677.598,-13.6017,311.166,0.113172,60.035,60.0097,-1.74183,737.768,737.608,-15.3435,
1.246,12.5,0,2278,5.0,1192.76,310.719,1.22019,682.741,682.626,-12.5233,311.158,0.112472,59.7694,59.7482,-1.59069,742.508,742.374,-14.114,
1.496,12.5,0,2279,4.98,1188.51,310.699,1.21676,679.358,679.207,-14.3345,311.149,0.11345,60.4972,60.4741,-1.66934,739.854,739.681,-16.0038,
1.746,12.5,0,2279,4.99,1190.9,311.568,1.226,685.848,685.723,-13.075,312.067,0.112385,60.0282,60.0049,-1.67145,745.874,745.728,-14.7465,
1.996,12.5,0,2280,4.95,1181.87,310.867,1.22184,683.401,683.261,-13.8593,311.299,0.112866,59.8003,59.7745,-1.75755,743.199,743.035,-15.6169,
2.246,12.5,0,2281,4.97,1187.16,310.863,1.21239,680.238,680.105,-13.4688,311.324,0.113876,60.2111,60.1845,-1.79036,740.446,740.289,-15.2592,
2.496,12.5,0,2279,5.0,1193.28,310.802,1.21075,679.165,679.032,-13.4459,311.246,0.113261,59.9644,59.9358,-1.85223,739.126,738.968,-15.2981,
2.746,12.5,0,2281,5.02,1199.11,318.297,1.2181,681.12,680.977,-13.9356,318.814,0.116824,60.2086,60.2077,-0.335299,741.322,741.185,-14.2709,
2.95,12.5,0,2281,5.02,1199.11,316.36,1.22288,686.171,685.986,-15.9371,316.815,0.11589,60.503,60.496,-0.925404,746.672,746.482,-16.8625,
3.2,12.5,0,2282,5.01,1197.24,316.63,1.21055,678.92,678.777,-13.9406,317.12,0.117473,61.0288,61.0235,-0.805077,739.947,739.8,-14.7456,
3.45,12.5,0,2281,5.04,1203.88,317.11,1.22213,685.192,684.98,-17.0536,317.591,0.117986,60.8932,60.8886,-0.747532,746.081,745.868,-17.8011,
3.7,12.5,0,2281,4.98,1189.55,317.907,1.22372,681.842,681.72,-12.8697,318.43,0.118215,61.1192,61.1153,-0.69166,742.959,742.836,-13.5613,
3.95,12.5,0,2281,5.03,1201.49,318.031,1.2263,686.441,686.258,-15.8463,318.547,0.115157,59.8461,59.8402,-0.845329,746.285,746.098,-16.6917,
4.2,12.5,0,2281,5.0,1194.33,318.407,1.22628,683.429,683.304,-13.1144,318.957,0.118514,61.3805,61.3771,-0.649476,744.808,744.681,-13.7639,
4.45,12.5,0,2282,5.0,1194.85,318.526,1.23321,687.597,687.4,-16.4301,319.046,0.117179,60.1988,60.1951,-0.668732,747.791,747.595,-17.0989,
4.7,12.5,0,2281,5.0,1194.33,318.102,1.22229,680.588,680.442,-14.1137,318.599,0.119186,61.3754,61.3737,-0.455931,741.958,741.815,-14.5697,
4.95,12.5,0,2282,5.01,1197.24,318.377,1.23019,686.281,686.136,-14.1064,318.915,0.116736,60.5514,60.5466,-0.762131,746.831,746.683,-14.8685,
5.2,12.5,0,2281,4.96,1184.77,318.694,1.22372,681.082,680.967,-12.5116,319.215,0.11918,61.4366,61.431,-0.834701,742.518,742.398,-13.3463,
5.45,12.5,0,2281,5.02,1199.11,282.263,1.52579,674.906,674.805,-11.6985,282.611,0.115831,55.7308,55.7299,-0.305375,730.633,730.534,-12.0039,
5.7,12.5,0,2281,4.99,1191.94,283.204,1.52218,671.601,671.527,-9.96167,283.598,0.11823,56.641,56.6383,-0.550578,728.241,728.165,-10.5122,
5.95,12.5,0,2282,4.99,1192.46,318.938,1.21965,681.07,680.905,-14.9904,319.435,0.117216,61.0587,61.0549,-0.681791,742.126,741.96,-15.6722,
6.2,12.5,0,2281,4.99,1191.94,318.49,1.23397,685.799,685.604,-16.3297,318.897,0.118838,61.6153,61.6117,-0.659968,747.409,747.216,-16.9897,
6.45,12.5,0,2281,5.03,1201.49,318.074,1.21904,681.591,681.405,-15.9044,318.559,0.117992,59.9366,59.9358,-0.309353,741.518,741.341,-16.2138,
6.7,12.5,0,2282,5.01,1197.24,318.574,1.23043,684.303,684.155,-14.2089,319.04,0.119228,61.3054,61.3012,-0.721337,745.606,745.456,-14.9302,
6.95,12.5,0,2282,4.99,1192.46,318.503,1.22407,682.24,682.044,-16.376,318.952,0.117087,59.9298,59.9298,-0.0058952,742.154,741.973,-16.3819,
7.2,12.5,0,2281,5.03,1201.49,319.053,1.22972,686.906,686.712,-16.2877,319.515,0.118653,60.8584,60.8573,-0.381197,747.756,747.57,-16.6689,
7.45,12.5,0,2281,5.01,1196.72,318.484,1.22031,681.177,680.988,-16.0477,318.965,0.117825,60.494,60.4939,-0.118056,741.658,741.482,-16.1658,
7.7,12.5,0,2281,5.02,1199.11,319.055,1.22691,683.257,683.096,-14.8563,319.466,0.119694,61.6274,61.622,-0.812947,744.882,744.718,-15.6693,
7.95,12.5,0,2282,4.93,1178.12,318.772,1.22972,684.979,684.777,-16.6487,319.226,0.116194,59.5568,59.5557,-0.358495,744.527,744.333,-17.0072,
8.2,12.5,0,2281,4.99,1191.94,319.961,1.23349,684.362,684.231,-13.3893,320.491,0.118013,61.4501,61.4483,-0.476808,745.808,745.679,-13.8661,
8.45,12.5,0,2282,4.94,1180.51,316.539,1.2036,679.342,679.23,-12.3311,317.07,0.11728,60.6631,60.6586,-0.7369,740.004,739.889,-13.068,
8.7,12.5,0,2282,4.98,1190.07,317.315,1.22883,688.647,688.464,-15.9061,317.825,0.115966,60.4022,60.3997,-0.539123,749.044,748.863,-16.4453,
8.95,12.5,0,2282,4.99,1192.46,317.769,1.21331,682.528,682.405,-12.9425,318.267,0.117231,60.8731,60.8675,-0.824537,743.4,743.273,-13.7671,
